Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
C532_D1_G10	0.107085892549221	0	0	0.00167990061597786	3.55429666663936	1.84466420167054	1.86697513792163	0	0	0	0.78894727136815	0	0	9.00229243325953	0	0	0.773817783234406	0	0	1.89613522640792	0.108134630952697	0.0416777669832797	0.684	-0.0111801628934341	1.15172111927334	19.9857069116027
C532_D1_G2	0	0	0.0116575803881658	0.644673570637765	0	10.2956252914947	1.90577180373272	0	0	0	2.00644383694962	0	0.230144353235316	2.99896735040563	0	0.884077407476138	0	0.734489383100962	0	0.791687130180809	0.0512239795479475	0	0.804	-0.021390847554343	1.13048501632517	20.5547616871498
C532_D1_G5	0.19680887589806	0	0	0	0	1.01396965458878	0	0.0360642335217717	0.12683981974541	0	0.0433732767186588	0.312740259391353	0.281202441599995	0	0.116451930141277	0.118926217587624	0.132615165486451	0.434186527152323	0	2.61891636651829	0.267411822424674	0.106354798631369	0.94	-0.0374827574168966	1.22352485563694	5.80586138940603
C532_D1_G9	3.53823854684785	0	0.379807875019309	2.59306869351683	0	1.95098893245168	4.51698782374482	0	0.322328198183168	1.08697881937105	0	0	2.3214007776487	0	0	4.22483042536846	1.68639932868379	1.8067971683365	0	2.86989442337351	0	0.858577841552103	0.706	-0.0131237979175066	1.07658128831817	28.1562988540978
C536_B1_G4	0	4.14766823772984	1.1763582179669	5.49720869780006	22.6670602163554	28.4933902577649	0	0	0	0	6.54093200038814	0	5.27558073348954	1.30646990905393	0	0	1.60929148232016	0.858910163994053	4.50856915636806	0	0	0	0.033	0.155870554834628	1.06187786177683	82.081439073231
C536_D1_B1	0.450729372619454	0.248190708296275	0.95591251471422	1.0531596994111	0	0	0	0.0992936104923335	1.48354599420449	0	0	1.85884318572489	0.638319608301294	0.358434171840025	0.370719502484343	0.226311974696607	1.01161761345468	0.20904049447148	0	1.16434704209757	0.589397983138997	0	0.00600000000000001	0.291018734269346	0.972968543543855	10.7178634759478
C537_A1_G5	5.13325776422276	0	3.33492138812686	4.87428052050294	0	11.8345085119269	5.51853155907311	0	0	0	0.4286659892655	0	1.76765918829908	2.43298814700533	0.302809701709078	1.50494981087371	3.11977932254233	1.36788518399294	4.23700557305414	0.474085667762364	0.830339190943848	2.13353820376476	0.739	-0.015541630740043	1.07242849991601	49.2952057230656
C537_A1_G7	12.8178953459189	0	0	8.46943360259231	0	7.89327493739874	5.05895584577532	0.364634657912425	5.02786392178805	0.57221806453342	0	0	0	0	0	6.02248201363929	0	0	3.90296054937898	1.14283133210561	0	7.84127753225723	0.599	-0.00385668939672428	1.09330869230637	59.1138278033003
C537_B1_G1	0.160364807788547	0	0	0.128361062916513	0	6.73911236801232	1.51675273611372	0	0	0	2.14875371504026	0	0.0480074309071338	1.28241010501512	0.0275270097329626	0	0	0.179050328115933	0	0.592924878117457	0.487566002987178	0.0369888701799202	0.147	0.0741882273442993	1.0965690484724	13.3478193149271
C537_B1_G4	1.82525099388618	0	1.88323958765557	0.432046841654845	0	5.485024856369	1.85538744238718	0	0.841471380352464	0.694167937492308	0	1.80763428567271	0	2.67101229701884	1.07223760920143	0	1.79443112070036	0	3.13126680600385	0	1.50625579452696	2.42315692659293	0.099	0.0987144611261333	1.03630625587167	27.4225838795146
C537_C1_G1	1.79232599531444	0	0.662438769246684	1.45988480779624	0	8.22358792063873	3.47923157536556	0	0	0	4.41804065535097	0	0.769313024291187	11.4268648751513	1.11846882758463	2.30153010658324	1.00808129021406	0	0	1.52835239544527	1.60996360941707	0	0.273	0.0379551798429521	1.08528871296807	39.7980838523994
C537_C1_G2	0	0	0	2.38655462698891	0	7.66756902648432	7.14458297898973	0.642003625234765	0	0	2.55065184709041	0	0	6.20989104153429	1.04954329424972	3.3569959215098	0.873661392624305	0	1.85978875744494	0.269255460816764	7.11178920735722	0.678079456274504	0.372	0.0208142284692496	1.07610930235332	41.8003666365997
C537_D1_B1	3.00145405376635	0	0.755937010786131	0	0	6.16137262480765	0	1.78785777314437	2.33712892130605	0.951481873081895	1.70951734296224	0	0.676916927765514	0.404957805286111	0.361379699651819	1.15459549566202	0	0.927661102475849	0	2.91431340575509	0	0	0.656	-0.00853790122833776	1.10003549655508	23.1445740364511
C538_B1_B1	0.49162972659844	0	0	0.0270385175989238	0	5.08865962285278	0.360211836101471	0	0	0	0.89287430101859	0	0.0704756909706512	2.30330758541585	0.4974980390672	0	0	0.186649852559819	0	0.156787350660215	0.00425550557708792	0	0.778	-0.0188131786627719	1.12845355232723	10.079388028421
C538_B1_G1	0.0975094464931059	0	0	0	0.323358212321983	1.46787752722982	0.480841629740257	0	0.441679461187997	0	1.15649141661988	0	0	4.56012881079253	0.126444714568835	0.319740240752365	0	0	0	0.896929943668304	0	0	0.893	-0.0302959908783734	1.16723183178137	9.87100140337508
C538_B1_G10	0	0.34831770578089	0.43177035841578	0	0.402394027118049	0.524682358974313	0	0.574627081816393	0.638315969668583	0	1.92030778976153	0	0	3.68040626167211	0.365857118608707	0	0.150789384707993	0.583141865496251	0	1.38478561190192	0	0	0.836	-0.024511705100105	1.13329283422464	11.0053955339225
C538_B1_G8	0.00818259124842575	0	0.228529867696678	0	0	0.960611790953797	0	1.79058324361361	0.748965174485611	0	1.18775937829173	0	0.453784629879267	5.91883187494704	0.360981971813957	0	0.74487463462414	0	0.332889722428528	0.0782376364056336	0.0193430759645794	0	0.341	0.0253353915711091	1.12530290507984	12.833575592353
C538_B1_G9	0	0.746802553332496	1.95721454640691	0	1.94098803467375	0	0	0.0476381984127593	0.78453997105859	0	0	0.571347344576001	0	1.01734181466129	0.839351984553199	0	2.4941278707105	0.11659954932108	1.04467266349077	0.0366139374031607	0.38863505669553	0	0.931	-0.0358453282967764	1.07572200441485	11.985873525296
C538_C1_B1	1.68681673616611	0	0	0.586619387342119	0	2.71565538327347	0.537298221612522	0	0.341914093096126	0	0.797135204996635	0	0.102399283497598	3.54655009844535	1.45808687128764	0	0.129911268247854	0.051801497169149	0.435931366288115	0	0.336322414007486	0	0.82	-0.0233135719314773	1.11261690745319	12.7264418254302
C538_C1_G1	0.767821115722506	0	1.14095257717394	0.40775376840541	0	0.932737470692484	0	0.245955715327548	0.719346697830402	0	0.707086665552691	0	0	0.584165692396623	0	0.151751376327028	0.719357863221969	0.492741870477123	0	1.49853798846921	0	0.518972548430727	0.924	-0.0346174453063628	1.08964572907789	8.88718135002766
C538_C1_G10	0.35190395209619	0	0	0.15810358537328	0.248572342428138	0.285904233192388	0.485826820339493	0	0	0	0.264085825773935	0.0233245454985277	0	7.13786114404505	0.0559500148001485	0	0	0.632494735209171	0	0.990142657034162	0	0.14127431988523	0.187	0.0584315566159221	1.19713153447037	10.7754441756757
C538_C1_G2	0	1.15374857887166	0	0	0	0.59029595926995	0	1.21156405118932	1.57531327030591	0.909442784034717	0	0	0.421747102507953	2.62139992996587	0.522869547140386	0.109477509132547	0	0	0	2.87448558735057	0	0	0.695	-0.0123226982847933	1.12320182670438	11.9903443197689
C538_C1_G3	1.93196457633469	0	0.28141227781498	0	0	0	2.80103900340669	0.264110566854626	0	1.0864479497956	0	0	0.409836461872386	2.26943214079429	0.0196237402856151	0	0	0	0.0496083672391317	0	0	0	0.936	-0.0370134581074091	1.10277209061386	9.11347508439801
C538_C1_G4	0.123084383012344	0	0.0665953301157379	4.0535764302869	0	0.502645979653272	0	0.145161347480028	0.453295901799942	0	0	0	0	2.37251253953126	0	0	0	0	0	2.72232525563805	0.165206888763603	0.103408820764503	0.818	-0.0227910531004058	1.16056172223496	10.7078128770456
C538_C1_G5	0.159054170401045	0	0.371139913788336	2.39603000836872	0	0.219903980866774	2.23601433315419	0	0	0	0.569664282516293	0.190499644238276	0.748991233753558	0.558227661206582	0	0.234272154341693	0.201813746147993	1.37101862254076	0.05248346829183	0.401986464917088	0.352411970794831	0	0.986	-0.0483450410784843	1.11049612662163	10.063511655328
C538_C1_G7	0.455412616503173	0.156342117268063	0.423496643375403	0	0.036361405265999	0.750981850483901	0.305855177068852	0.0639570965292953	0.546760788744143	0	1.03632924844982	0.591008214094545	0	5.24362851903015	0.258935810379769	0	0	0	0.387130887750193	0	1.18700507334236	0	0.512	0.00530629784171927	1.13501268460098	11.4432054482857
C538_C1_G9	1.16189560791962	0	0.167700313766653	0	0	1.59990926860121	0	0.435472263800711	0.815747670550867	0.523998867773066	0.878686198222164	0	0.182444329397766	0.576429006352248	0	0	0	2.14793971812321	0	2.54103969322209	0	0	0.805	-0.0216144406759183	1.12525058053939	11.0312629377296
C538_D1_G10	0	0.31011234532082	0	0	0	0.3891603689216	0	0.185729907904811	0.132681061246586	0	0	0.155159700079648	0.49092604730078	0	0	0	0	1.74233350473304	0	6.99130248879053	0.137869759516195	0	0.00700000000000001	0.271645100192546	1.14630513495957	10.535275183814
